edad,renuncia,viajes,tarifa_diaria,departamento,distancia_al_trabajo,educacion,campo_de_educacion,conteo_de_empleados,numero_de_empleado,satisfaccion_ambiente,genero,tarifa_por_hora,involucracion_laboral,nivel_laboral,rol_laboral,satisfaccion_laboral,estado_civil,ingreso_mensual,tarifa_mensual,num_empresas_trabajadas,horas_extras,incremento_salarial_porcentaje,calificacion_de_rendimiento,satisfaccion_relacion,horas_estandar,nivel_de_stock,aí±os_trabajando,num_entrenamientos_aí±o,balance_vida_trabajo,aí±os_en_la_empresa,aí±os_en_el_puesto,aí±os_desde_ultimo_ascenso,aí±os_con_actual_supervisor
35,No,Viaja_Raramente,809,Investigación y Desarrollo,16,3,Medicina,1,14,1,Masculino,84,4,1,Técnico de Laboratorio,2,Casado,2426,16479,0,No,13,3,3,80,1,6,5,3,5,4,0,3
29,No,Viaja_Raramente,153,Investigación y Desarrollo,15,2,Ciencias de la Vida,1,15,4,Femenino,49,2,2,Técnico de Laboratorio,3,Soltero,4193,12682,0,Si,12,3,4,80,0,10,3,3,9,5,0,8
31,No,Viaja_Raramente,670,Investigación y Desarrollo,26,1,Ciencias de la Vida,1,16,1,Masculino,31,3,1,Cientí­fico de Investigación,3,Divorciado,2911,15170,1,No,17,3,4,80,1,5,1,2,5,2,4,3
34,No,Viaja_Raramente,1346,Investigación y Desarrollo,19,2,Medicina,1,18,2,Masculino,93,3,1,Técnico de Laboratorio,4,Divorciado,2661,8758,0,No,11,3,3,80,1,3,2,3,2,2,1,2
28,Si,Viaja_Raramente,103,Investigación y Desarrollo,24,3,Ciencias de la Vida,1,19,3,Masculino,50,2,1,Técnico de Laboratorio,3,Soltero,2028,12947,5,Si,14,3,2,80,0,6,4,3,4,2,0,3
29,No,Viaja_Raramente,1389,Investigación y Desarrollo,21,4,Ciencias de la Vida,1,20,2,Femenino,51,4,3,Director de Manufactura,1,Divorciado,9980,10195,1,No,11,3,3,80,1,10,1,3,10,9,8,8
32,No,Viaja_Raramente,334,Investigación y Desarrollo,5,2,Ciencias de la Vida,1,21,1,Masculino,80,4,1,Cientí­fico de Investigación,2,Divorciado,3298,15053,0,Si,12,3,4,80,2,7,5,2,6,2,0,5
22,No,No_Viaja,1123,Investigación y Desarrollo,16,2,Medicina,1,22,4,Masculino,96,4,1,Técnico de Laboratorio,4,Divorciado,2935,7324,1,Si,13,3,2,80,2,1,2,2,1,0,0,0
53,No,Viaja_Raramente,1219,Ventas,2,4,Ciencias de la Vida,1,23,1,Femenino,78,2,4,Gerente,4,Casado,15427,22021,2,No,16,3,3,80,0,31,3,3,25,8,3,7
38,No,Viaja_Raramente,371,Investigación y Desarrollo,2,3,Ciencias de la Vida,1,24,4,Masculino,45,3,1,Cientí­fico de Investigación,4,Soltero,3944,4306,5,Si,11,3,3,80,0,6,3,3,3,2,1,2
24,No,No_Viaja,673,Investigación y Desarrollo,11,2,Otro,1,26,1,Femenino,96,4,2,Director de Manufactura,3,Divorciado,4011,8232,0,No,18,3,4,80,1,5,5,2,4,2,1,3
36,Si,Viaja_Raramente,1218,Ventas,9,4,Ciencias de la Vida,1,27,3,Masculino,82,2,1,Representante de Ventas,1,Soltero,3407,6986,7,No,23,4,2,80,0,10,4,3,5,3,0,3
34,No,Viaja_Raramente,419,Investigación y Desarrollo,7,4,Ciencias de la Vida,1,28,1,Femenino,53,3,3,Director de Investigación,2,Soltero,11994,21293,0,No,11,3,3,80,0,13,4,3,12,6,2,11
21,No,Viaja_Raramente,391,Investigación y Desarrollo,15,2,Ciencias de la Vida,1,30,3,Masculino,96,3,1,Cientí­fico de Investigación,4,Soltero,1232,19281,1,No,14,3,4,80,0,0,6,3,0,0,0,0
34,Si,Viaja_Raramente,699,Investigación y Desarrollo,6,1,Medicina,1,31,2,Masculino,83,3,1,Cientí­fico de Investigación,1,Soltero,2960,17102,2,No,11,3,3,80,0,8,2,3,4,2,1,3
53,No,Viaja_Raramente,1282,Investigación y Desarrollo,5,3,Otro,1,32,3,Femenino,58,3,5,Gerente,3,Divorciado,19094,10735,4,No,11,3,4,80,1,26,3,2,14,13,4,8
32,Si,Viaja_Frecuentemente,1125,Investigación y Desarrollo,16,1,Ciencias de la Vida,1,33,2,Femenino,72,1,1,Cientí­fico de Investigación,1,Soltero,3919,4681,1,Si,22,4,2,80,0,10,5,3,10,2,6,7
42,No,Viaja_Raramente,691,Ventas,8,4,Mercadeo,1,35,3,Masculino,48,3,2,Ejecutivo de Ventas,2,Casado,6825,21173,0,No,11,3,4,80,1,10,2,3,9,7,4,2
44,No,Viaja_Raramente,477,Investigación y Desarrollo,7,4,Medicina,1,36,1,Femenino,42,2,3,Representante de Salud,4,Casado,10248,2094,3,No,14,3,4,80,1,24,4,3,22,6,5,17
46,No,Viaja_Raramente,705,Ventas,2,4,Mercadeo,1,38,2,Femenino,83,3,5,Gerente,1,Soltero,18947,22822,3,No,12,3,4,80,0,22,2,2,2,2,2,1
33,No,Viaja_Raramente,924,Investigación y Desarrollo,2,3,Medicina,1,39,3,Masculino,78,3,1,Técnico de Laboratorio,4,Soltero,2496,6670,4,No,11,3,4,80,0,7,3,3,1,1,0,0
44,No,Viaja_Raramente,1459,Investigación y Desarrollo,10,4,Otro,1,40,4,Masculino,41,3,2,Representante de Salud,4,Casado,6465,19121,2,Si,13,3,4,80,0,9,5,4,4,2,1,3
30,No,Viaja_Raramente,125,Investigación y Desarrollo,9,2,Medicina,1,41,4,Masculino,83,2,1,Técnico de Laboratorio,3,Soltero,2206,16117,1,No,13,3,1,80,0,10,5,3,10,0,1,8
39,Si,Viaja_Raramente,895,Ventas,5,3,Grado Tí©cnico,1,42,4,Masculino,56,3,2,Representante de Ventas,4,Casado,2086,3335,3,No,14,3,3,80,1,19,6,4,1,0,0,0
24,Si,Viaja_Raramente,813,Investigación y Desarrollo,1,3,Medicina,1,45,2,Masculino,61,3,1,Cientí­fico de Investigación,4,Casado,2293,3020,2,Si,16,3,1,80,1,6,2,2,2,0,2,0
43,No,Viaja_Raramente,1273,Investigación y Desarrollo,2,2,Medicina,1,46,4,Femenino,72,4,1,Cientí­fico de Investigación,3,Divorciado,2645,21923,1,No,12,3,4,80,2,6,3,2,5,3,1,4
50,Si,Viaja_Raramente,869,Ventas,3,2,Mercadeo,1,47,1,Masculino,86,2,1,Representante de Ventas,3,Casado,2683,3810,1,Si,14,3,3,80,0,3,2,3,3,2,0,2
35,No,Viaja_Raramente,890,Ventas,2,3,Mercadeo,1,49,4,Femenino,97,3,1,Representante de Ventas,4,Casado,2014,9687,1,No,13,3,1,80,0,2,3,3,2,2,2,2
36,No,Viaja_Raramente,852,Investigación y Desarrollo,5,4,Ciencias de la Vida,1,51,2,Femenino,82,2,1,Cientí­fico de Investigación,1,Casado,3419,13072,9,Si,14,3,4,80,1,6,3,4,1,1,0,0
33,No,Viaja_Frecuentemente,1141,Ventas,1,3,Ciencias de la Vida,1,52,3,Femenino,42,4,2,Ejecutivo de Ventas,1,Casado,5376,3193,2,No,19,3,1,80,2,10,3,3,5,3,1,3
35,No,Viaja_Raramente,464,Investigación y Desarrollo,4,2,Otro,1,53,3,Masculino,75,3,1,Técnico de Laboratorio,4,Divorciado,1951,10910,1,No,12,3,3,80,1,1,3,3,1,0,0,0
27,No,Viaja_Raramente,1240,Investigación y Desarrollo,2,4,Ciencias de la Vida,1,54,4,Femenino,33,3,1,Técnico de Laboratorio,1,Divorciado,2341,19715,1,No,13,3,4,80,1,1,6,3,1,0,0,0
26,Si,Viaja_Raramente,1357,Investigación y Desarrollo,25,3,Ciencias de la Vida,1,55,1,Masculino,48,1,1,Técnico de Laboratorio,3,Soltero,2293,10558,1,No,12,3,3,80,0,1,2,2,1,0,0,1
27,No,Viaja_Frecuentemente,994,Ventas,8,3,Ciencias de la Vida,1,56,4,Masculino,37,3,3,Ejecutivo de Ventas,3,Soltero,8726,2975,1,No,15,3,4,80,0,9,0,3,9,8,1,7
30,No,Viaja_Frecuentemente,721,Investigación y Desarrollo,1,2,Medicina,1,57,3,Femenino,58,3,2,Técnico de Laboratorio,4,Soltero,4011,10781,1,No,23,4,4,80,0,12,2,3,12,8,3,7
41,Si,Viaja_Raramente,1360,Investigación y Desarrollo,12,3,Grado Tí©cnico,1,58,2,Femenino,49,3,5,Director de Investigación,3,Casado,19545,16280,1,No,12,3,4,80,0,23,0,3,22,15,15,8
34,No,No_Viaja,1065,Ventas,23,4,Mercadeo,1,60,2,Masculino,72,3,2,Ejecutivo de Ventas,3,Soltero,4568,10034,0,No,20,4,3,80,0,10,2,3,9,5,8,7
37,No,Viaja_Raramente,408,Investigación y Desarrollo,19,2,Ciencias de la Vida,1,61,2,Masculino,73,3,1,Cientí­fico de Investigación,2,Casado,3022,10227,4,No,21,4,1,80,0,8,1,3,1,0,0,0
46,No,Viaja_Frecuentemente,1211,Ventas,5,4,Mercadeo,1,62,1,Masculino,98,3,2,Ejecutivo de Ventas,4,Soltero,5772,20445,4,Si,21,4,3,80,0,14,4,3,9,6,0,8
35,No,Viaja_Raramente,1229,Investigación y Desarrollo,8,1,Ciencias de la Vida,1,63,4,Masculino,36,4,1,Técnico de Laboratorio,4,Casado,2269,4892,1,No,19,3,4,80,0,1,2,3,1,0,0,1
48,Si,Viaja_Raramente,626,Investigación y Desarrollo,1,2,Ciencias de la Vida,1,64,1,Masculino,98,2,3,Técnico de Laboratorio,3,Soltero,5381,19294,9,Si,13,3,4,80,0,23,2,3,1,0,0,0
28,Si,Viaja_Raramente,1434,Investigación y Desarrollo,5,4,Grado Tí©cnico,1,65,3,Masculino,50,3,1,Técnico de Laboratorio,3,Soltero,3441,11179,1,Si,13,3,3,80,0,2,3,2,2,2,2,2
44,No,Viaja_Raramente,1488,Ventas,1,5,Mercadeo,1,68,2,Femenino,75,3,2,Ejecutivo de Ventas,1,Divorciado,5454,4009,5,Si,21,4,3,80,1,9,2,2,4,3,1,3
35,No,No_Viaja,1097,Investigación y Desarrollo,11,2,Medicina,1,70,3,Masculino,79,2,3,Representante de Salud,1,Casado,9884,8302,2,Si,13,3,3,80,1,10,3,3,4,0,2,3
26,No,Viaja_Raramente,1443,Ventas,23,3,Mercadeo,1,72,3,Femenino,47,2,2,Ejecutivo de Ventas,4,Casado,4157,21436,7,Si,19,3,3,80,1,5,2,2,2,2,0,0
33,No,Viaja_Frecuentemente,515,Investigación y Desarrollo,1,2,Ciencias de la Vida,1,73,1,Femenino,98,3,3,Director de Investigación,4,Soltero,13458,15146,1,Si,12,3,3,80,0,15,1,3,15,14,8,12
35,No,Viaja_Frecuentemente,853,Ventas,18,5,Ciencias de la Vida,1,74,2,Masculino,71,3,3,Ejecutivo de Ventas,1,Casado,9069,11031,1,No,22,4,4,80,1,9,3,2,9,8,1,8
35,No,Viaja_Raramente,1142,Investigación y Desarrollo,23,4,Medicina,1,75,3,Femenino,30,3,1,Técnico de Laboratorio,1,Casado,4014,16002,3,Si,15,3,3,80,1,4,3,3,2,2,2,2
31,No,Viaja_Raramente,655,Investigación y Desarrollo,7,4,Ciencias de la Vida,1,76,4,Masculino,48,3,2,Técnico de Laboratorio,4,Divorciado,5915,9528,3,No,22,4,4,80,1,10,3,2,7,7,1,7
37,No,Viaja_Raramente,1115,Investigación y Desarrollo,1,4,Ciencias de la Vida,1,77,1,Masculino,51,2,2,Director de Manufactura,3,Divorciado,5993,2689,1,No,18,3,3,80,1,7,2,4,7,5,0,7
32,No,Viaja_Raramente,427,Investigación y Desarrollo,1,3,Medicina,1,78,1,Masculino,33,3,2,Director de Manufactura,4,Casado,6162,10877,1,Si,22,4,2,80,1,9,3,3,9,8,7,8
38,No,Viaja_Frecuentemente,653,Investigación y Desarrollo,29,5,Ciencias de la Vida,1,79,4,Femenino,50,3,2,Técnico de Laboratorio,4,Soltero,2406,5456,1,No,11,3,4,80,0,10,2,3,10,3,9,9
50,No,Viaja_Raramente,989,Investigación y Desarrollo,7,2,Medicina,1,80,2,Femenino,43,2,5,Director de Investigación,3,Divorciado,18740,16701,5,Si,12,3,4,80,1,29,2,2,27,3,13,8
59,No,Viaja_Raramente,1435,Ventas,25,3,Ciencias de la Vida,1,81,1,Femenino,99,3,3,Ejecutivo de Ventas,1,Soltero,7637,2354,7,No,11,3,4,80,0,28,3,2,21,16,7,9
36,No,Viaja_Raramente,1223,Investigación y Desarrollo,8,3,Grado Tí©cnico,1,83,3,Femenino,59,3,3,Representante de Salud,3,Divorciado,10096,8202,1,No,13,3,2,80,3,17,2,3,17,14,12,8
55,No,Viaja_Raramente,836,Investigación y Desarrollo,8,3,Medicina,1,84,4,Femenino,33,3,4,Gerente,3,Divorciado,14756,19730,2,Si,14,3,3,80,3,21,2,3,5,0,0,2
36,No,Viaja_Frecuentemente,1195,Investigación y Desarrollo,11,3,Ciencias de la Vida,1,85,2,Masculino,95,2,2,Director de Manufactura,2,Soltero,6499,22656,1,No,13,3,3,80,0,6,3,3,6,5,0,3
45,No,Viaja_Raramente,1339,Investigación y Desarrollo,7,3,Ciencias de la Vida,1,86,2,Masculino,59,3,3,Cientí­fico de Investigación,1,Divorciado,9724,18787,2,No,17,3,3,80,1,25,2,3,1,0,0,0
35,No,Viaja_Frecuentemente,664,Investigación y Desarrollo,1,3,Medicina,1,88,2,Masculino,79,3,1,Cientí­fico de Investigación,1,Casado,2194,5868,4,No,13,3,4,80,1,5,2,2,3,2,1,2
36,Si,Viaja_Raramente,318,Investigación y Desarrollo,9,3,Medicina,1,90,4,Masculino,79,2,1,Cientí­fico de Investigación,3,Casado,3388,21777,0,Si,17,3,1,80,1,2,0,2,1,0,0,0
59,No,Viaja_Frecuentemente,1225,Ventas,1,1,Ciencias de la Vida,1,91,1,Femenino,57,2,2,Ejecutivo de Ventas,3,Soltero,5473,24668,7,No,11,3,4,80,0,20,2,2,4,3,1,3
29,No,Viaja_Raramente,1328,Investigación y Desarrollo,2,3,Ciencias de la Vida,1,94,3,Masculino,76,3,1,Cientí­fico de Investigación,2,Casado,2703,4956,0,No,23,4,4,80,1,6,3,3,5,4,0,4
31,No,Viaja_Raramente,1082,Investigación y Desarrollo,1,4,Medicina,1,95,3,Masculino,87,3,1,Cientí­fico de Investigación,2,Soltero,2501,18775,1,No,17,3,2,80,0,1,4,3,1,1,1,0
32,No,Viaja_Raramente,548,Investigación y Desarrollo,1,3,Ciencias de la Vida,1,96,2,Masculino,66,3,2,Cientí­fico de Investigación,2,Casado,6220,7346,1,No,17,3,2,80,2,10,3,3,10,4,0,9
36,No,Viaja_Raramente,132,Investigación y Desarrollo,6,3,Ciencias de la Vida,1,97,2,Femenino,55,4,1,Técnico de Laboratorio,4,Casado,3038,22002,3,No,12,3,2,80,0,5,3,3,1,0,0,0
31,No,Viaja_Raramente,746,Investigación y Desarrollo,8,4,Ciencias de la Vida,1,98,3,Femenino,61,3,2,Director de Manufactura,4,Soltero,4424,20682,1,No,23,4,4,80,0,11,2,3,11,7,1,8
35,No,Viaja_Raramente,776,Ventas,1,4,Mercadeo,1,100,3,Masculino,32,2,2,Ejecutivo de Ventas,1,Soltero,4312,23016,0,No,14,3,2,80,0,16,2,3,15,13,2,8
45,No,Viaja_Raramente,193,Investigación y Desarrollo,6,4,Otro,1,101,4,Masculino,52,3,3,Director de Investigación,1,Casado,13245,15067,4,Si,14,3,2,80,0,17,3,4,0,0,0,0
37,No,Viaja_Raramente,397,Investigación y Desarrollo,7,4,Medicina,1,102,1,Masculino,30,3,3,Director de Investigación,3,Soltero,13664,25258,4,No,13,3,1,80,0,16,3,4,5,2,0,2
46,No,Viaja_Raramente,945,Recursos Humanos,5,2,Medicina,1,103,2,Masculino,80,3,2,Recursos Humanos,2,Divorciado,5021,10425,8,Si,22,4,4,80,1,16,2,3,4,2,0,2
30,No,Viaja_Raramente,852,Investigación y Desarrollo,1,1,Ciencias de la Vida,1,104,4,Masculino,55,2,2,Técnico de Laboratorio,4,Casado,5126,15998,1,Si,12,3,3,80,2,10,1,2,10,8,3,0
35,No,Viaja_Raramente,1214,Investigación y Desarrollo,1,3,Medicina,1,105,2,Masculino,30,2,1,Cientí­fico de Investigación,3,Soltero,2859,26278,1,No,18,3,1,80,0,6,3,3,6,4,0,4
55,No,Viaja_Raramente,111,Ventas,1,2,Ciencias de la Vida,1,106,1,Masculino,70,3,3,Ejecutivo de Ventas,4,Casado,10239,18092,3,No,14,3,4,80,1,24,4,3,1,0,1,0
38,No,No_Viaja,573,Investigación y Desarrollo,6,3,Medicina,1,107,2,Femenino,79,1,2,Cientí­fico de Investigación,4,Divorciado,5329,15717,7,Si,12,3,4,80,3,17,3,3,13,11,1,9
34,No,Viaja_Raramente,1153,Investigación y Desarrollo,1,2,Medicina,1,110,1,Masculino,94,3,2,Director de Manufactura,2,Casado,4325,17736,1,No,15,3,3,80,0,5,2,3,5,2,1,3
56,No,Viaja_Raramente,1400,Investigación y Desarrollo,7,3,Ciencias de la Vida,1,112,4,Masculino,49,1,3,Director de Manufactura,4,Soltero,7260,21698,4,No,11,3,1,80,0,37,3,2,6,4,0,2
23,No,Viaja_Raramente,541,Ventas,2,1,Grado Tí©cnico,1,113,3,Masculino,62,3,1,Representante de Ventas,1,Divorciado,2322,9518,3,No,13,3,3,80,1,3,3,3,0,0,0,0
51,No,Viaja_Raramente,432,Investigación y Desarrollo,9,4,Ciencias de la Vida,1,116,4,Masculino,96,3,1,Técnico de Laboratorio,4,Casado,2075,18725,3,No,23,4,2,80,2,10,4,3,4,2,0,3
30,No,Viaja_Raramente,288,Investigación y Desarrollo,2,3,Ciencias de la Vida,1,117,3,Masculino,99,2,2,Representante de Salud,4,Casado,4152,15830,1,No,19,3,1,80,3,11,3,3,11,10,10,8
46,Si,Viaja_Raramente,669,Ventas,9,2,Medicina,1,118,3,Masculino,64,2,3,Ejecutivo de Ventas,4,Soltero,9619,13596,1,No,16,3,4,80,0,9,3,3,9,8,4,7
40,No,Viaja_Frecuentemente,530,Investigación y Desarrollo,1,4,Ciencias de la Vida,1,119,3,Masculino,78,2,4,Representante de Salud,2,Casado,13503,14115,1,No,22,4,4,80,1,22,3,2,22,3,11,11
51,No,Viaja_Raramente,632,Ventas,21,4,Mercadeo,1,120,3,Masculino,71,3,2,Ejecutivo de Ventas,4,Soltero,5441,8423,0,Si,22,4,4,80,0,11,2,1,10,7,1,0
30,No,Viaja_Raramente,1334,Ventas,4,2,Medicina,1,121,3,Femenino,63,2,2,Ejecutivo de Ventas,2,Divorciado,5209,19760,1,Si,12,3,2,80,3,11,4,2,11,8,2,7
46,No,Viaja_Frecuentemente,638,Investigación y Desarrollo,1,3,Medicina,1,124,3,Masculino,40,2,3,Representante de Salud,1,Casado,10673,3142,2,Si,13,3,3,80,1,21,5,2,10,9,9,5
32,No,Viaja_Raramente,1093,Ventas,6,4,Medicina,1,125,2,Masculino,87,3,2,Ejecutivo de Ventas,3,Soltero,5010,24301,1,No,16,3,1,80,0,12,0,3,11,8,5,7
54,No,Viaja_Raramente,1217,Investigación y Desarrollo,2,4,Grado Tí©cnico,1,126,1,Femenino,60,3,3,Director de Investigación,3,Casado,13549,24001,9,No,12,3,1,80,1,16,5,1,4,3,0,3
24,No,Viaja_Raramente,1353,Ventas,3,2,Otro,1,128,1,Femenino,33,3,2,Ejecutivo de Ventas,3,Casado,4999,17519,0,No,21,4,1,80,1,4,2,2,3,2,0,2
28,No,No_Viaja,120,Ventas,4,3,Medicina,1,129,2,Masculino,43,3,2,Ejecutivo de Ventas,3,Casado,4221,8863,1,No,15,3,2,80,0,5,3,4,5,4,0,4
58,No,Viaja_Raramente,682,Ventas,10,4,Medicina,1,131,4,Masculino,37,3,4,Ejecutivo de Ventas,3,Soltero,13872,24409,0,No,13,3,3,80,0,38,1,2,37,10,1,8
44,No,No_Viaja,489,Investigación y Desarrollo,23,3,Medicina,1,132,2,Masculino,67,3,2,Técnico de Laboratorio,2,Casado,2042,25043,4,No,12,3,3,80,1,17,3,4,3,2,1,2
37,Si,Viaja_Raramente,807,Recursos Humanos,6,4,Recursos Humanos,1,133,3,Masculino,63,3,1,Recursos Humanos,1,Divorciado,2073,23648,4,Si,22,4,4,80,0,7,3,3,3,2,0,2
32,No,Viaja_Raramente,827,Investigación y Desarrollo,1,1,Ciencias de la Vida,1,134,4,Masculino,71,3,1,Cientí­fico de Investigación,1,Soltero,2956,15178,1,No,13,3,4,80,0,1,2,3,1,0,0,0
20,Si,Viaja_Frecuentemente,871,Investigación y Desarrollo,6,3,Ciencias de la Vida,1,137,4,Femenino,66,2,1,Técnico de Laboratorio,4,Soltero,2926,19783,1,Si,18,3,2,80,0,1,5,3,1,0,1,0
34,No,Viaja_Raramente,665,Investigación y Desarrollo,6,4,Otro,1,138,1,Femenino,41,3,2,Cientí­fico de Investigación,3,Soltero,4809,12482,1,No,14,3,3,80,0,16,3,3,16,13,2,10
37,No,No_Viaja,1040,Investigación y Desarrollo,2,2,Ciencias de la Vida,1,139,3,Masculino,100,2,2,Representante de Salud,4,Divorciado,5163,15850,5,No,14,3,4,80,1,17,2,4,1,0,0,0
59,No,No_Viaja,1420,Recursos Humanos,2,4,Recursos Humanos,1,140,3,Femenino,32,2,5,Gerente,4,Casado,18844,21922,9,No,21,4,4,80,1,30,3,3,3,2,2,2
50,No,Viaja_Frecuentemente,1115,Investigación y Desarrollo,1,3,Ciencias de la Vida,1,141,1,Femenino,73,3,5,Director de Investigación,2,Casado,18172,9755,3,Si,19,3,1,80,0,28,1,2,8,3,0,7
25,Si,Viaja_Raramente,240,Ventas,5,3,Mercadeo,1,142,3,Masculino,46,2,2,Ejecutivo de Ventas,3,Soltero,5744,26959,1,Si,11,3,4,80,0,6,1,3,6,4,0,3
25,No,Viaja_Raramente,1280,Investigación y Desarrollo,7,1,Medicina,1,143,4,Masculino,64,2,1,Cientí­fico de Investigación,4,Casado,2889,26897,1,No,11,3,3,80,2,2,2,3,2,2,2,1
22,No,Viaja_Raramente,534,Investigación y Desarrollo,15,3,Medicina,1,144,2,Femenino,59,3,1,Técnico de Laboratorio,4,Soltero,2871,23785,1,No,15,3,3,80,0,1,5,3,0,0,0,0
51,No,Viaja_Frecuentemente,1456,Investigación y Desarrollo,1,4,Medicina,1,145,1,Femenino,30,2,3,Representante de Salud,1,Soltero,7484,25796,3,No,20,4,3,80,0,23,1,2,13,12,12,8
34,Si,Viaja_Frecuentemente,658,Investigación y Desarrollo,7,3,Ciencias de la Vida,1,147,1,Masculino,66,1,2,Técnico de Laboratorio,3,Soltero,6074,22887,1,Si,24,4,4,80,0,9,3,3,9,7,0,6
54,No,No_Viaja,142,Recursos Humanos,26,3,Recursos Humanos,1,148,4,Femenino,30,4,4,Gerente,4,Soltero,17328,13871,2,Si,12,3,3,80,0,23,3,3,5,3,4,4
24,No,Viaja_Raramente,1127,Investigación y Desarrollo,18,1,Ciencias de la Vida,1,150,2,Masculino,52,3,1,Técnico de Laboratorio,3,Casado,2774,13257,0,No,12,3,3,80,1,6,2,3,5,3,1,2
34,No,Viaja_Raramente,1031,Investigación y Desarrollo,6,4,Ciencias de la Vida,1,151,3,Femenino,45,2,2,Cientí­fico de Investigación,2,Divorciado,4505,15000,6,No,15,3,3,80,1,12,3,3,1,0,0,0
37,No,Viaja_Raramente,1189,Ventas,3,3,Ciencias de la Vida,1,152,3,Masculino,87,3,3,Ejecutivo de Ventas,4,Soltero,7428,14506,2,No,12,3,1,80,0,12,3,3,5,3,1,3
34,No,Viaja_Raramente,1354,Investigación y Desarrollo,5,3,Medicina,1,153,3,Femenino,45,2,3,Gerente,1,Soltero,11631,5615,2,No,12,3,4,80,0,14,6,3,11,10,5,8
36,No,Viaja_Frecuentemente,1467,Ventas,11,2,Grado Tí©cnico,1,154,2,Femenino,92,3,3,Ejecutivo de Ventas,4,Casado,9738,22952,0,No,14,3,3,80,1,10,6,3,9,7,2,8
36,No,Viaja_Raramente,922,Investigación y Desarrollo,3,2,Ciencias de la Vida,1,155,1,Femenino,39,3,1,Técnico de Laboratorio,4,Divorciado,2835,2561,5,No,22,4,1,80,1,7,2,3,1,0,0,0
43,No,Viaja_Frecuentemente,394,Ventas,26,2,Ciencias de la Vida,1,158,3,Masculino,92,3,4,Gerente,4,Casado,16959,19494,1,Si,12,3,4,80,2,25,3,4,25,12,4,12
30,No,Viaja_Frecuentemente,1312,Investigación y Desarrollo,23,3,Ciencias de la Vida,1,159,1,Masculino,96,1,1,Cientí­fico de Investigación,3,Divorciado,2613,22310,1,No,25,4,3,80,3,10,2,2,10,7,0,9
33,No,No_Viaja,750,Ventas,22,2,Mercadeo,1,160,3,Masculino,95,3,2,Ejecutivo de Ventas,2,Casado,6146,15480,0,No,13,3,1,80,1,8,2,4,7,7,0,7
56,Si,Viaja_Raramente,441,Investigación y Desarrollo,14,4,Ciencias de la Vida,1,161,2,Femenino,72,3,1,Cientí­fico de Investigación,2,Casado,4963,4510,9,Si,18,3,1,80,3,7,2,3,5,4,4,3
