edad,renuncia,viajes,departamento,educacion,campo_de_educacion,satisfaccion_ambiente,genero,tarifa_por_hora,involucracion_laboral,rol_laboral,satisfaccion_laboral,estado_civil,ingreso_mensual,num_empresas_trabajadas,horas_extras,incremento_salarial_porcentaje,calificacion_de_rendimiento,antiguedad,entrenamientos,antiguedad_en_la_empresa,antiguedad_en_el_puesto,anios_desde_ultimo_ascenso,anios_con_actual_supervisor
31,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,3,Femenino,61,3,Director de Manufactura,4,Soltero,4424,1,No,23,4,11,2,11,7,1,8
35,No,Viaja_Raramente,Ventas,4,Mercadeo,3,Masculino,32,2,Ejecutivo de Ventas,1,Soltero,4312,0,No,14,3,16,2,15,13,2,8
45,No,Viaja_Raramente,Investigación y Desarrollo,4,Otro,4,Masculino,52,3,Director de Investigación,1,Casado,13245,4,Si,14,3,17,3,0,0,0,0
37,No,Viaja_Raramente,Investigación y Desarrollo,4,Medicina,1,Masculino,30,3,Director de Investigación,3,Soltero,13664,4,No,13,3,16,3,5,2,0,2
46,No,Viaja_Raramente,Recursos Humanos,2,Medicina,2,Masculino,80,3,Recursos Humanos,2,Divorciado,5021,8,Si,22,4,16,2,4,2,0,2
30,No,Viaja_Raramente,Investigación y Desarrollo,1,Ciencias de la Vida,4,Masculino,55,2,Técnico de Laboratorio,4,Casado,5126,1,Si,12,3,10,1,10,8,3,0
35,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,2,Masculino,30,2,Cientí­fico de Investigación,3,Soltero,2859,1,No,18,3,6,3,6,4,0,4
55,No,Viaja_Raramente,Ventas,2,Ciencias de la Vida,1,Masculino,70,3,Ejecutivo de Ventas,4,Casado,10239,3,No,14,3,24,4,1,0,1,0
38,No,No_Viaja,Investigación y Desarrollo,3,Medicina,2,Femenino,79,1,Cientí­fico de Investigación,4,Divorciado,5329,7,Si,12,3,17,3,13,11,1,9
34,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,1,Masculino,94,3,Director de Manufactura,2,Casado,4325,1,No,15,3,5,2,5,2,1,3
56,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,4,Masculino,49,1,Director de Manufactura,4,Soltero,7260,4,No,11,3,37,3,6,4,0,2
23,No,Viaja_Raramente,Ventas,1,Grado Tí©cnico,3,Masculino,62,3,Representante de Ventas,1,Divorciado,2322,3,No,13,3,3,3,0,0,0,0
51,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,4,Masculino,96,3,Técnico de Laboratorio,4,Casado,2075,3,No,23,4,10,4,4,2,0,3
30,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,3,Masculino,99,2,Representante de Salud,4,Casado,4152,1,No,19,3,11,3,11,10,10,8
40,No,Viaja_Frecuentemente,Investigación y Desarrollo,4,Ciencias de la Vida,3,Masculino,78,2,Representante de Salud,2,Casado,13503,1,No,22,4,22,3,22,3,11,11
51,No,Viaja_Raramente,Ventas,4,Mercadeo,3,Masculino,71,3,Ejecutivo de Ventas,4,Soltero,5441,0,Si,22,4,11,2,10,7,1,0
30,No,Viaja_Raramente,Ventas,2,Medicina,3,Femenino,63,2,Ejecutivo de Ventas,2,Divorciado,5209,1,Si,12,3,11,4,11,8,2,7
46,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Medicina,3,Masculino,40,2,Representante de Salud,1,Casado,10673,2,Si,13,3,21,5,10,9,9,5
32,No,Viaja_Raramente,Ventas,4,Medicina,2,Masculino,87,3,Ejecutivo de Ventas,3,Soltero,5010,1,No,16,3,12,0,11,8,5,7
54,No,Viaja_Raramente,Investigación y Desarrollo,4,Grado Tí©cnico,1,Femenino,60,3,Director de Investigación,3,Casado,13549,9,No,12,3,16,5,4,3,0,3
24,No,Viaja_Raramente,Ventas,2,Otro,1,Femenino,33,3,Ejecutivo de Ventas,3,Casado,4999,0,No,21,4,4,2,3,2,0,2
28,No,No_Viaja,Ventas,3,Medicina,2,Masculino,43,3,Ejecutivo de Ventas,3,Casado,4221,1,No,15,3,5,3,5,4,0,4
58,No,Viaja_Raramente,Ventas,4,Medicina,4,Masculino,37,3,Ejecutivo de Ventas,3,Soltero,13872,0,No,13,3,38,1,37,10,1,8
44,No,No_Viaja,Investigación y Desarrollo,3,Medicina,2,Masculino,67,3,Técnico de Laboratorio,2,Casado,2042,4,No,12,3,17,3,3,2,1,2
32,No,Viaja_Raramente,Investigación y Desarrollo,1,Ciencias de la Vida,4,Masculino,71,3,Cientí­fico de Investigación,1,Soltero,2956,1,No,13,3,1,2,1,0,0,0
34,No,Viaja_Raramente,Investigación y Desarrollo,4,Otro,1,Femenino,41,3,Cientí­fico de Investigación,3,Soltero,4809,1,No,14,3,16,3,16,13,2,10
37,No,No_Viaja,Investigación y Desarrollo,2,Ciencias de la Vida,3,Masculino,100,2,Representante de Salud,4,Divorciado,5163,5,No,14,3,17,2,1,0,0,0
59,No,No_Viaja,Recursos Humanos,4,Recursos Humanos,3,Femenino,32,2,Gerente,4,Casado,18844,9,No,21,4,30,3,3,2,2,2
50,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Ciencias de la Vida,1,Femenino,73,3,Director de Investigación,2,Casado,18172,3,Si,19,3,28,1,8,3,0,7
25,No,Viaja_Raramente,Investigación y Desarrollo,1,Medicina,4,Masculino,64,2,Cientí­fico de Investigación,4,Casado,2889,1,No,11,3,2,2,2,2,2,1
22,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,2,Femenino,59,3,Técnico de Laboratorio,4,Soltero,2871,1,No,15,3,1,5,0,0,0,0
51,No,Viaja_Frecuentemente,Investigación y Desarrollo,4,Medicina,1,Femenino,30,2,Representante de Salud,1,Soltero,7484,3,No,20,4,23,1,13,12,12,8
54,No,No_Viaja,Recursos Humanos,3,Recursos Humanos,4,Femenino,30,4,Gerente,4,Soltero,17328,2,Si,12,3,23,3,5,3,4,4
24,No,Viaja_Raramente,Investigación y Desarrollo,1,Ciencias de la Vida,2,Masculino,52,3,Técnico de Laboratorio,3,Casado,2774,0,No,12,3,6,2,5,3,1,2
34,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,3,Femenino,45,2,Cientí­fico de Investigación,2,Divorciado,4505,6,No,15,3,12,3,1,0,0,0
37,No,Viaja_Raramente,Ventas,3,Ciencias de la Vida,3,Masculino,87,3,Ejecutivo de Ventas,4,Soltero,7428,2,No,12,3,12,3,5,3,1,3
34,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,3,Femenino,45,2,Gerente,1,Soltero,11631,2,No,12,3,14,6,11,10,5,8
36,No,Viaja_Frecuentemente,Ventas,2,Grado Tí©cnico,2,Femenino,92,3,Ejecutivo de Ventas,4,Casado,9738,0,No,14,3,10,6,9,7,2,8
36,No,Viaja_Raramente,Investigación y Desarrollo,2,Ciencias de la Vida,1,Femenino,39,3,Técnico de Laboratorio,4,Divorciado,2835,5,No,22,4,7,2,1,0,0,0
43,No,Viaja_Frecuentemente,Ventas,2,Ciencias de la Vida,3,Masculino,92,3,Gerente,4,Casado,16959,1,Si,12,3,25,3,25,12,4,12
30,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Ciencias de la Vida,1,Masculino,96,1,Cientí­fico de Investigación,3,Divorciado,2613,1,No,25,4,10,2,10,7,0,9
33,No,No_Viaja,Ventas,2,Mercadeo,3,Masculino,95,3,Ejecutivo de Ventas,2,Casado,6146,0,No,13,3,8,2,7,7,0,7
51,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,1,Masculino,51,3,Director de Investigación,3,Soltero,19537,7,No,13,3,23,5,20,18,15,15
26,No,Viaja_Raramente,Investigación y Desarrollo,3,Otro,3,Femenino,46,2,Cientí­fico de Investigación,2,Casado,2368,1,No,19,3,5,3,5,4,4,3
22,No,Viaja_Raramente,Investigación y Desarrollo,1,Grado Tí©cnico,3,Masculino,100,3,Técnico de Laboratorio,4,Casado,2523,0,No,14,3,3,2,2,1,2,1
49,No,Viaja_Raramente,Investigación y Desarrollo,4,Medicina,3,Femenino,96,3,Director de Manufactura,1,Casado,6567,1,No,14,3,16,2,15,11,5,11
43,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Medicina,2,Femenino,72,4,Cientí­fico de Investigación,3,Soltero,4739,4,No,12,3,18,2,3,2,1,2
50,No,Viaja_Frecuentemente,Ventas,3,Mercadeo,3,Femenino,77,3,Ejecutivo de Ventas,4,Soltero,9208,4,No,11,3,16,3,2,2,2,1
41,No,Viaja_Raramente,Ventas,1,Ciencias de la Vida,3,Masculino,96,3,Ejecutivo de Ventas,3,Divorciado,8189,3,Si,13,3,12,2,9,7,0,7
26,No,Viaja_Raramente,Recursos Humanos,1,Ciencias de la Vida,3,Femenino,61,3,Recursos Humanos,3,Casado,2942,1,No,23,4,8,3,8,7,5,7
36,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,2,Masculino,84,3,Director de Manufactura,2,Divorciado,4941,6,No,20,4,7,0,3,2,0,1
39,No,Viaja_Raramente,Ventas,4,Ciencias de la Vida,4,Femenino,47,2,Ejecutivo de Ventas,3,Casado,5902,4,No,14,3,17,1,15,11,5,9
25,No,Viaja_Raramente,Ventas,3,Ciencias de la Vida,1,Masculino,41,2,Ejecutivo de Ventas,3,Casado,8639,2,No,18,3,6,3,2,2,2,2
30,No,Viaja_Raramente,Recursos Humanos,3,Recursos Humanos,3,Masculino,48,3,Recursos Humanos,4,Casado,6347,0,Si,19,3,12,2,11,9,4,7
45,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,3,Masculino,83,3,Cientí­fico de Investigación,4,Soltero,3452,5,No,13,3,9,2,6,5,0,3
38,No,Viaja_Raramente,Investigación y Desarrollo,5,Grado Tí©cnico,4,Femenino,32,3,Cientí­fico de Investigación,3,Soltero,4317,3,Si,20,4,19,2,3,2,2,2
30,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,1,Femenino,75,3,Cientí­fico de Investigación,3,Soltero,2632,1,No,14,3,5,4,5,4,0,4
32,No,Viaja_Frecuentemente,Ventas,2,Medicina,4,Masculino,35,1,Ejecutivo de Ventas,4,Divorciado,4668,0,No,17,3,9,2,8,7,0,7
30,No,Viaja_Raramente,Investigación y Desarrollo,3,Grado Tí©cnico,4,Femenino,84,3,Cientí­fico de Investigación,1,Divorciado,3204,5,No,14,3,8,3,3,2,2,2
30,No,Viaja_Raramente,Investigación y Desarrollo,1,Medicina,2,Masculino,35,2,Técnico de Laboratorio,4,Soltero,2720,0,No,13,3,6,3,5,3,1,2
41,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Ciencias de la Vida,4,Masculino,91,2,Gerente,1,Divorciado,17181,4,No,13,3,21,2,7,6,7,7
41,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,3,Masculino,94,3,Técnico de Laboratorio,1,Casado,2238,2,No,21,4,7,2,5,0,1,4
19,No,Viaja_Raramente,Investigación y Desarrollo,1,Medicina,2,Femenino,79,3,Técnico de Laboratorio,2,Soltero,1483,1,No,14,3,1,3,1,0,0,0
40,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Medicina,2,Femenino,54,3,Cientí­fico de Investigación,2,Divorciado,5605,1,No,11,3,20,2,20,7,2,13
35,No,Viaja_Raramente,Ventas,5,Mercadeo,3,Masculino,94,3,Ejecutivo de Ventas,2,Casado,7295,1,No,13,3,10,3,10,8,0,6
53,No,Viaja_Raramente,Ventas,2,Mercadeo,2,Masculino,34,3,Representante de Ventas,3,Casado,2306,2,Si,20,4,13,3,7,7,4,5
45,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,2,Masculino,60,3,Técnico de Laboratorio,2,Divorciado,2348,8,No,18,3,20,2,17,9,0,15
32,No,Viaja_Frecuentemente,Ventas,3,Mercadeo,2,Femenino,43,3,Ejecutivo de Ventas,4,Soltero,8998,1,No,14,3,9,2,9,8,3,7
29,No,No_Viaja,Investigación y Desarrollo,1,Grado Tí©cnico,4,Masculino,41,3,Director de Manufactura,3,Casado,4319,1,No,13,3,10,1,10,7,0,9
51,No,Viaja_Raramente,Investigación y Desarrollo,4,Medicina,2,Masculino,34,2,Director de Manufactura,3,Casado,6132,2,No,17,3,10,2,1,0,0,0
58,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,2,Femenino,75,2,Cientí­fico de Investigación,2,Casado,3346,4,Si,20,4,9,3,1,0,0,0
40,No,Viaja_Raramente,Ventas,4,Mercadeo,3,Masculino,67,2,Ejecutivo de Ventas,4,Casado,10855,7,No,11,3,15,2,12,11,2,11
34,No,Viaja_Frecuentemente,Ventas,4,Mercadeo,3,Femenino,75,3,Representante de Ventas,3,Casado,2231,6,No,18,3,6,3,4,3,1,2
22,No,Viaja_Raramente,Investigación y Desarrollo,1,Medicina,3,Masculino,80,3,Cientí­fico de Investigación,4,Casado,2323,1,No,24,4,2,6,2,2,2,2
27,No,No_Viaja,Investigación y Desarrollo,3,Medicina,4,Masculino,57,3,Cientí­fico de Investigación,2,Divorciado,2024,6,No,18,3,6,1,2,2,2,2
28,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,3,Masculino,42,3,Cientí­fico de Investigación,4,Casado,2713,1,No,11,3,5,2,5,2,0,2
57,No,Viaja_Raramente,Investigación y Desarrollo,2,Ciencias de la Vida,3,Masculino,83,4,Representante de Salud,4,Divorciado,9439,3,Si,16,3,12,2,5,3,1,4
27,No,No_Viaja,Investigación y Desarrollo,3,Medicina,3,Masculino,79,2,Cientí­fico de Investigación,3,Divorciado,2566,1,Si,15,3,1,2,1,1,0,1
50,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,3,Femenino,53,3,Gerente,2,Soltero,19926,3,No,15,3,21,5,5,4,4,4
41,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,1,Masculino,56,3,Cientí­fico de Investigación,3,Divorciado,2451,4,No,12,3,13,2,9,8,1,8
30,No,Viaja_Raramente,Ventas,3,Ciencias de la Vida,2,Femenino,41,3,Ejecutivo de Ventas,4,Casado,9419,2,No,12,3,12,2,10,9,7,4
38,No,Viaja_Raramente,Ventas,4,Ciencias de la Vida,1,Femenino,59,2,Ejecutivo de Ventas,4,Soltero,8686,4,No,22,4,12,2,8,3,0,7
32,No,Viaja_Raramente,Investigación y Desarrollo,5,Ciencias de la Vida,3,Masculino,43,3,Cientí­fico de Investigación,3,Soltero,3038,3,No,20,4,8,2,5,4,1,4
27,No,Viaja_Raramente,Investigación y Desarrollo,3,Grado Tí©cnico,3,Masculino,51,3,Cientí­fico de Investigación,2,Casado,3058,0,Si,16,3,6,3,5,2,1,1
36,No,Viaja_Frecuentemente,Investigación y Desarrollo,2,Medicina,4,Masculino,30,3,Técnico de Laboratorio,2,Soltero,2088,4,No,12,3,13,3,8,7,7,2
30,No,No_Viaja,Investigación y Desarrollo,3,Medicina,3,Masculino,66,3,Técnico de Laboratorio,1,Divorciado,3072,1,No,11,3,12,4,12,9,6,10
45,No,Viaja_Raramente,Ventas,2,Ciencias de la Vida,3,Femenino,30,3,Ejecutivo de Ventas,1,Divorciado,5006,4,Si,11,3,9,3,5,4,0,3
56,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,3,Femenino,67,3,Cientí­fico de Investigación,1,Divorciado,4257,4,Si,18,3,19,3,2,2,2,2
33,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,3,Masculino,90,3,Cientí­fico de Investigación,4,Soltero,2500,0,No,14,3,4,2,3,1,0,2
46,No,Viaja_Raramente,Ventas,2,Mercadeo,2,Femenino,92,3,Ejecutivo de Ventas,1,Divorciado,10453,1,No,25,4,24,2,24,13,15,7
38,No,Viaja_Raramente,Investigación y Desarrollo,2,Ciencias de la Vida,3,Femenino,75,3,Técnico de Laboratorio,4,Soltero,2288,1,No,12,3,2,3,2,2,2,1
31,No,Viaja_Raramente,Investigación y Desarrollo,1,Medicina,3,Femenino,95,3,Cientí­fico de Investigación,4,Casado,3929,8,Si,23,4,7,0,4,2,0,2
34,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,4,Femenino,95,3,Cientí­fico de Investigación,2,Soltero,2311,2,No,15,3,9,3,3,2,1,2
50,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,3,Masculino,86,2,Técnico de Laboratorio,3,Casado,3690,2,No,15,3,5,2,3,2,0,2
53,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,4,Femenino,57,4,Director de Manufactura,1,Divorciado,4450,1,No,11,3,5,3,4,2,1,3
