date,diesel,Brent,WTI
Mar-11,3.97,114.9173913,102.94
Apr-11,4.08,123.3257143,110.04
May-11,3.76,114.9295455,101.33
Jun-11,3.77,114.3704545,96.29
Jul-11,3.86,117.4833333,97.19
Aug-11,3.64,110.3547826,86.33
Sep-11,3.73,111.9627273,85.61
Oct-11,3.85,110.4295238,86.41
Nov-11,3.98,111.1586364,97.21
Dec-11,3.81,108.3477273,98.57
Jan-12,3.94,111.415,100.24
Feb-12,4.04,119.1657143,102.25
Mar-12,4.16,124.7031818,106.19
Apr-12,4.06,120.47,103.33
May-12,3.77,110.8221739,94.7
Jun-12,3.46,95.88904762,82.41
Jul-12,3.69,102.9795455,87.93
Aug-12,3.97,113.7804348,94.16
Sep-12,3.97,113.6415,94.72
Oct-12,3.96,111.7926087,89.57
Nov-12,3.89,109.9118182,86.66
Dec-12,3.75,109.5690476,88.25
Jan-13,3.81,112.5278261,94.69
Feb-13,4.01,116.488,95.32
Mar-13,3.79,109.5857143,93.05
Apr-13,3.59,102.96,92.07
May-13,3.6,102.9804348,94.8
Jun-13,3.64,103.3585,95.8
Jul-13,3.83,107.7795652,104.61
Aug-13,3.91,111.0581818,106.57
Sep-13,3.85,111.9628571,106.29
Oct-13,3.73,109.6186957,100.54
Nov-13,3.66,108.1504762,93.86
Dec-13,3.83,111.0704545,97.63
Jan-14,3.97,107.9269565,94.62
Feb-14,4.09,108.838,100.82
Mar-14,3.79,107.8680952,100.8
Apr-14,3.71,108.0036364,102.07
May-14,3.67,109.8322727,102.18
Jun-14,3.71,112.2409524,105.79
Jul-14,3.58,107.4626087,103.59
Aug-14,3.56,102.4019048,96.54
Sep-14,3.46,97.85272727,93.21
Oct-14,3.23,87.58478261,84.4
Nov-14,3.15,79.2295,75.79
Dec-14,2.68,62.90391304,59.29
Jan-15,2.25,48.93318182,47.22
Feb-15,2.7,58.254,50.58
Mar-15,2.56,56.52454545,47.82
Apr-15,2.49,59.82636364,54.45
May-15,2.62,65.19380952,59.27
Jun-15,2.54,62.62,59.82
Jul-15,2.29,56.82956522,50.9
Aug-15,2.12,47.53380952,42.87
Sep-15,2.14,48.03045455,45.48
Oct-15,2.06,48.90636364,46.22
Nov-15,2,45.0952381,42.44
Dec-15,1.6,38.52521739,37.19
Jan-16,1.4,32.0452381,31.68
Feb-16,1.46,33.76238095,30.32
Mar-16,1.64,39.79217391,37.55
Apr-16,1.68,43.33047619,40.75
May-16,1.95,47.735,46.71
Jun-16,2.02,49.87727273,48.76
Jul-16,1.85,46.59857143,44.65
Aug-16,1.89,47.05217391,44.72
Sep-16,1.93,47.37681818,45.18
Oct-16,2.16,51.41380952,49.78
Nov-16,2.06,46.94227273,45.66
Dec-16,2.36,55.02272727,51.97
Jan-17,2.32,55.71090909,52.5
Feb-17,2.3,56.096,53.47
Mar-17,2.15,52.65521739,49.33
Apr-17,2.22,53.978,51.06
May-17,2.11,51.37434783,48.48
Jun-17,1.96,47.65272727,45.18
Jul-17,2.09,49.25333333,46.63
Aug-17,2.22,51.92782609,48.04
Sep-17,2.42,55.55761905,49.82
Oct-17,2.45,57.53636364,51.58
Nov-17,2.6,62.83636364,56.64
Dec-17,2.62,64.06428571,57.88
Jan-18,2.74,68.88913043,63.7
Feb-18,2.56,65.6965,62.23
Mar-18,2.54,66.89181818,62.73
Apr-18,2.73,71.93285714,66.25
May-18,2.99,76.93434783,69.98
Jun-18,2.89,75.80285714,67.87
Jul-18,2.92,75.22909091,70.98
Aug-18,2.95,73.85130435,68.06
Sep-18,3.09,79.163,70.23
Oct-18,3.22,80.78347826,70.75
Nov-18,2.82,66.22863636,56.96
Dec-18,2.47,57.94809524,49.52
Jan-19,2.5,59.94478261,51.38
Feb-19,2.66,64.384,54.95
Mar-19,2.69,66.94190476,58.15
Apr-19,2.8,71.47590909,63.86
May-19,2.78,70.38913043,60.83
Jun-19,2.52,63.2085,54.66
Jul-19,2.61,64.32217391,57.35
Aug-19,2.53,59.61818182,54.81
Sep-19,2.68,62.43095238,56.95
Oct-19,2.66,59.63130435,53.96
Nov-19,2.63,62.68666667,57.03
Dec-19,2.7,65.34818182,59.88
Jan-20,2.51,63.89869565,57.52
Feb-20,2.25,55.691,50.54
Mar-20,1.69,33.94727273,29.21
Apr-20,1.25,26.84863636,16.55
May-20,1.26,32.42238095,28.56
Jun-20,1.57,40.86045455,38.31
Jul-20,1.72,43.29565217,40.71
Aug-20,1.68,45.08142857,42.34
Sep-20,1.53,41.92681818,39.63
Oct-20,1.57,41.60681818,39.4
Nov-20,1.67,44.05,40.94
Dec-20,1.93,50.37695652,47.02
Jan-21,2.09,55.2247619,52
Feb-21,2.37,62.3625,59.04
Mar-21,2.49,65.79608696,62.33
Apr-21,2.48,65.53181818,61.72
May-21,2.69,68.3752381,65.17
Jun-21,2.83,73.51272727,71.38
Jul-21,2.88,74.40318182,72.49
Aug-21,2.8,70.58818182,67.73
Sep-21,2.97,74.74954545,71.65
Oct-21,3.41,83.8652381,81.48
Nov-21,3.24,80.89045455,79.15
Dec-21,3.07,74.67826087,71.71
Jan-22,3.53,85.62238095,83.22
Feb-22,3.87,94.267,91.64
Mar-22,5.14,112.44,108.5
Apr-22,5.52,106.1557143,101.78
May-22,6.42,112.1136364,109.55
Jun-22,6.04,117.6927273,114.84
Jul-22,5.15,105.2528571,101.62
Aug-22,4.98,97.64304348,93.67
Sep-22,4.86,90.60818182,84.26
Oct-22,6.19,93.71857143,87.55
Nov-22,5.64,90.93863636,84.37
Dec-22,4.22,81.50318182,76.44
Jan-23,4.33,84.08181818,78.12
Feb-23,3.77,83.6325,76.83
Mar-23,3.68,79.25652174,73.28
Apr-23,3.45,83.536,79.45
May-23,3.14,75.7473913,71.58
Jun-23,3.27,74.975,70.25
Jul-23,3.56,80.10904762,76.07
Aug-23,4.21,85.16826087,81.39
Sep-23,4.54,92.67333333,89.43
Oct-23,4.26,88.94772727,85.64
Nov-23,3.92,82.18636364,77.69
Dec-23,3.51,77.54095238,71.9
Jan-24,3.58,79.11,74.15
Feb-24,3.73,81.79571429,77.25
Mar-24,3.58,84.96142857,81.28
Apr-24,3.56,88.97454545,85.35
May-24,3.28,83.05391304,80.02
Jun-24,3.28,82.9175,79.77
Jul-24,3.33,84.04869565,81.8
Aug-24,3,79.01863636,76.68
Sep-24,2.74,73.05761905,70.24
Oct-24,2.9,75.26652174,71.99
Nov-24,2.98,73.50857143,69.95
Dec-24,2.97,73.22772727,70.12
Jan-25,3.38,78.19391304,75.74
Feb-25,3.33,75.193,71.53
Mar-25,3,71.74142857,68.24
Apr-25,2.82,66.92727273,63.54
May-25,2.7,64.09272727,62.17
Jun-25,2.93,69.84666667,68.17
Jul-25,3.14,69.56478261,68.39
Aug-25,2.99,67.24428571,64.86
Sep-25,3.07,67.60909091,63.96
Oct-25,3.03,63.98130435,60.89
Nov-25,3.29,63.6935,60.06
Dec-25,2.92,61.81090909,57.97
Jan-26,2.9,64.59409091,60.04
Feb-26,3.17,69.4095,64.51
Mar-26,5.06,99.405,91.38
Apr-26,5.09,102.8136364,100.32
May-26,5.06,106.2961538,102.13
